Version,Engine,Section,Name,Mean,Deviation,MOE,RME,SEM
1.7.170,V8,update-in,[coll (array-map :foo 1) ks [:foo]] (update-in coll ks inc),2.3510893531962565e-07,9.946694928223444e-09,2.3641793140331482e-09,1.005567615207434,1.206213935731198e-09
1.7.170,V8,obj-map,[coll (obj-map)] (assoc coll :foo :bar),1.8762541169345129e-07,9.245743284317004e-09,2.2139127466238556e-09,1.179964231199674,1.129547319706049e-09
1.7.170,V8,obj-map,[coll (obj-map :foo :bar)] (-lookup coll :foo),2.62772371561325e-08,8.381624161606126e-10,2.0069975985885337e-10,0.7637780131387012,1.023978366626803e-10
1.7.170,V8,obj-map,[coll (obj-map :foo :bar)] (assoc coll :baz :woz),8.088563229260791e-07,3.652115780359975e-08,8.878588545517785e-09,1.0976718972040718,4.529892115060095e-09
1.7.170,V8,obj-map,[coll (obj-map :foo :bar :baz :woz)] (-lookup coll :baz),2.6887233769546938e-08,2.460033922462251e-09,5.980541231199873e-10,2.224305141413827,3.0512965465305473e-10
1.7.170,V8,obj-map,[coll (obj-map :foo :bar :baz :woz :lol :rofl)] (-lookup coll :lol),2.6592761243285394e-08,2.3325522028261176e-09,5.627499637286678e-10,2.1161772505694976,2.8711732843299374e-10
1.7.170,V8,array-map,"[] {[1] true, [2] true, [3] true}",8.076682650040446e-07,4.1027012696749335e-08,9.751501924424075e-09,1.2073647494835325,4.975256083889834e-09
1.7.170,V8,array-map,[coll (array-map)] (assoc coll :foo :bar),4.91655707080476e-08,2.1262864757683944e-09,5.091437850824243e-10,1.035569765081738,2.597672372869512e-10
1.7.170,V8,array-map,[coll (array-map :foo :bar)] (-lookup coll :foo),3.057164218657697e-08,9.355506495024845e-10,2.2743992195137242e-10,0.7439571631884204,1.1604077650580226e-10
1.7.170,V8,array-map,[coll (array-map :foo :bar)] (assoc coll :baz :woz),5.887453716489629e-08,2.8518865910151414e-09,6.828902643753738e-10,1.1599076566202622,3.4841340019151727e-10
1.7.170,V8,array-map,[coll (array-map :foo :bar :baz :woz)] (-lookup coll :baz),3.7524971751412444e-08,3.9155763847195135e-10,9.991386657621752e-11,0.2662596716610633,5.097646253888649e-11
1.7.170,V8,array-map,[coll (array-map :foo :bar :baz :woz :lol :rofl)] (-lookup coll :lol),4.506245340495039e-08,5.643447614002607e-10,1.361534346899824e-10,0.3021438568079054,6.946603810713387e-11
1.7.170,V8,array-map w/ symbols,[coll (array-map)] (assoc coll a b),6.109186211590318e-08,3.103254106860125e-09,7.486889828062546e-10,1.2255134429948225,3.819841749011503e-10
1.7.170,V8,array-map w/ symbols,[coll (array-map a b)] (-lookup coll a),5.0329847451426496e-08,1.4215716835596724e-09,3.4828506247211974e-10,0.6920050032105717,1.7769646044495905e-10
1.7.170,V8,array-map w/ symbols,[coll (array-map a b)] (assoc coll c d),7.16007972695192e-08,3.369028687768394e-09,8.128095780859306e-10,1.1351962674750098,4.1469876432955647e-10
1.7.170,V8,array-map w/ symbols,[coll (array-map a b c d)] (-lookup coll c),5.406885790258854e-08,2.101141394107136e-09,5.069199488397206e-10,0.9375451387432615,2.5863262695904113e-10
1.7.170,V8,array-map w/ symbols,[coll (array-map a b c d e f)] (-lookup coll e),6.128246508173255e-08,3.0099304382698617e-09,7.374329573761161e-10,1.2033343573771065,3.762413047837327e-10
1.7.170,V8,array-map w/ inline symbols,[coll (array-map)] (assoc coll (quote foo) (quote bar)),6.003760037124079e-08,4.150844032813202e-09,1.0014298184104208e-09,1.668004404270171,5.109335808216433e-10
1.7.170,V8,array-map w/ inline symbols,[coll (array-map (quote foo) (quote bar))] (-lookup coll (quote foo)),4.0833496508434165e-08,6.852696066713189e-10,1.6532768091166733e-10,0.4048824985573275,8.435085760799354e-11
1.7.170,V8,array-map w/ inline symbols,[coll (array-map (quote foo) (quote bar))] (assoc coll (quote baz) (quote woz)),7.286186288257946e-08,6.520617920708177e-09,1.5975513905735033e-09,2.19257554963704,8.150772400885221e-10
1.7.170,V8,array-map w/ inline symbols,[coll (array-map (quote foo) (quote bar) (quote baz) (quote woz))] (-lookup coll (quote baz)),4.6012659743388914e-08,7.411776200253124e-10,1.788160103256809e-10,0.3886235034508587,9.123265832942904e-11
1.7.170,V8,array-map w/ inline symbols,[coll (array-map (quote foo) (quote bar) (quote baz) (quote woz) (quote lol) (quote rofl))] (-lookup coll (quote lol)),5.369431896002683e-08,1.4414451112087842e-09,3.4776207069097624e-10,0.6476701398333603,1.7742962790355932e-10
1.7.170,V8,map / record ops,"[coll {:foo 1, :bar 2}] (get coll :foo)",4.0198241988604454e-08,2.358892701649274e-09,5.779287119040721e-10,1.4376964845077191,2.9486158770615925e-10
1.7.170,V8,map / record ops,"[coll {(quote foo) 1, (quote bar) 2}] (get coll (quote foo))",5.055339436170233e-08,1.947629346347301e-09,4.734844305425885e-10,0.9366026485875012,2.4157368905234107e-10
1.7.170,V8,map / record ops,"[coll {:foo 1, :bar 2}] (-lookup coll :foo nil)",3.288300822266594e-08,1.800208369283272e-09,4.4453767430059546e-10,1.3518765414965284,2.2680493586765075e-10
1.7.170,V8,map / record ops,"[coll {(quote foo) 1, (quote bar) 2}] (-lookup coll (quote foo) nil)",4.18785334582186e-08,1.1598573774110757e-09,2.819706998582956e-10,0.6733060510335499,1.4386260196851818e-10
1.7.170,V8,map / record ops,"[coll {:foo 1, :bar 2}] (:foo coll)",3.713177599558012e-08,1.25202460822702e-09,3.0437729836196846e-10,0.8197218964107701,1.5529453998059615e-10
1.7.170,V8,map / record ops,"[coll {(quote foo) 1, (quote bar) 2}] ((quote foo) coll)",7.721996829749661e-08,3.685137745584387e-09,8.890738351536702e-10,1.1513522405609342,4.5360909956819913e-10
1.7.170,V8,map / record ops,"[coll {:foo 1, :bar 2}] (kw coll)",3.6983820005812364e-08,1.0077005323944133e-09,2.431171475464676e-10,0.6573608337598966,1.240393609930957e-10
1.7.170,V8,map / record ops,"[coll {(quote foo) 1, (quote bar) 2}] (sym coll)",4.8661770248258986e-08,1.1480264246283944e-09,2.7697207721071594e-10,0.5691779723542331,1.4131228429118161e-10
1.7.170,V8,map / record ops,"[coll {:foo 1, :bar 2}] (loop [i 0 m coll] (if (< i 100000) (recur (inc i) (assoc m :foo 2)) m))",0.0027113750162043025,0.00023986193370214562,5.8766173757025674e-05,2.167393791187668,2.9982741712768202e-05
1.7.170,V8,map / record ops,[coll (Foo. 1 2)] (:bar coll),2.9515788536363172e-08,3.2349676840699268e-09,7.925670825971321e-10,2.685230928595036,4.0437096050874085e-10
